q,avg_next_ret,avg_n,avg_factor
1,0.009148364384450327,964.2,0.6138090351986842
2,0.0178816959981248,963.7333333333333,0.6344556391482251
3,0.023456936397802733,963.5333333333333,0.6378206822449742
4,0.029654476729539768,963.7333333333333,0.6413022554855997
5,0.03330545976455913,964.1333333333333,0.6607579843892637
