end_date,ic,rank_ic,size_neutral_rank_ic,n,factor_mv_rank_corr
2025-01-31,0.014339919734933126,0.028784494830205978,0.03058694803911778,4807.0,0.05809167637025655
2025-02-28,0.12603195268096776,0.11381206417254115,0.14514872003367146,4806.0,0.07762739355120953
2025-03-31,-0.029006156300435643,-0.14952202363455563,-0.14096840615555736,4802.0,-0.18771889233976347
2025-04-30,0.08986753297442057,0.01499864916710426,-0.10980248312589728,4799.0,-0.05390337069145902
2025-05-31,-0.0014838418847816892,0.05820987054495525,0.13867417373423985,4797.0,-0.04248757601211741
2025-06-30,0.028677525830441246,-0.014898138975230235,-0.004098270728827251,4818.0,-0.1491661209513242
2025-07-31,0.12697929096252034,0.12267424002503767,0.11938781960672878,4812.0,-0.05289296279310562
2025-08-31,0.03399162782589038,0.03430958254946605,0.009674701748381953,4812.0,0.04871878165443818
2025-09-30,0.06469720872244535,0.035975475260327815,0.036566623762529456,4810.0,0.10803221003008791
2025-10-31,0.05892600646054679,0.039813895790647376,-0.01896381620124239,4819.0,0.09763530983908268
2025-11-30,0.05870926565230769,0.09736856963151475,0.1433981640417015,4830.0,-0.057554660886801966
2025-12-31,0.08196356350333947,0.047551862765491656,0.08231230974141142,4845.0,-0.040116534994731105
2026-01-31,0.04997892780719399,0.13765338163008933,0.16073864002799124,4844.0,0.20940772368710503
2026-02-28,0.08622768097967227,0.11585587427489506,0.10107035281826494,4844.0,0.10079820018685112
2026-03-31,0.05532325689002019,0.006834398563847115,-0.027659395769717158,4845.0,0.10098518837689335
